risk_score,hdi,ndvi,evi,ndwi,temp,rain,nightlights,curr_fire_risk,curr_poaching_risk,curr_encroachment_risk,curr_drought_risk,curr_heat_risk,sens_fire,sens_poaching,sens_encroachment,sens_drought,sens_disease,sens_power_lines,is_plant,is_mammal,is_bird,is_reptile,is_amphibian,is_insect,is_marine,is_fungi,action,outcome
0.12,0.76,0.46,0.46,0.15,41.8,1211.0,5.4,0.09,0.17,0.83,0.1,0.09,0.87,0.98,1.0,0.97,0.22,0.07,0,1,0,0,0,0,0,0,Buffer_Zone_Enforcement,success
0.2,0.36,0.39,0.35,0.04,28.9,319.0,2.2,0.13,0.18,0.06,0.28,0.04,0.87,0.09,0.48,0.63,0.37,0.03,0,1,0,0,0,0,0,0,Apex_Prey_Base_Restoration,success
0.16,0.27,0.75,0.6,-0.44,40.1,2894.0,1.6,0.29,0.11,0.27,0.08,0.71,0.66,0.76,0.61,0.69,0.47,0.19,0,1,0,0,0,0,0,0,Managed_Water_Points,success
0.44,0.46,0.17,0.11,0.28,40.6,2884.0,3.6,0.99,0.24,0.07,0.17,0.28,1.0,0.05,0.94,0.49,0.04,0.11,0,1,0,0,0,0,0,0,Fire_Refuge_Creation,success
0.43,0.18,0.26,0.22,-0.38,33.9,113.0,1.8,0.27,0.29,0.24,0.78,0.22,0.61,0.3,0.23,1.0,0.06,0.12,0,1,0,0,0,0,0,0,Solar_Pump_Water_Holes,success
0.49,0.12,0.48,0.39,-0.04,27.7,2614.0,2.1,0.19,0.93,0.26,0.19,0.26,0.4,1.0,0.04,0.18,0.21,0.2,0,1,0,0,0,0,0,0,Intelligence_Led_Anti_Poaching,success
0.38,0.5,0.67,0.59,-0.4,15.8,111.0,5.0,0.17,0.09,0.08,1.0,0.3,0.1,0.96,0.28,1.0,0.4,0.09,0,0,0,0,1,0,0,0,Construct_Artificial_Wetlands,success
0.1,0.76,0.25,0.23,0.36,36.1,2525.0,6.2,0.12,0.15,0.72,0.02,0.15,0.41,0.6,1.0,0.47,0.24,0.06,0,0,1,0,0,0,0,0,Nesting_Site_Exclusion_Zones,success
0.24,0.88,0.35,0.34,-0.5,40.2,2345.0,2.7,0.24,0.25,0.96,0.22,0.16,0.97,0.06,1.0,0.29,0.44,0.11,0,1,0,0,0,0,0,0,Elephant_Corridor_Securitization,success
0.15,0.65,0.67,0.57,-0.32,40.3,1956.0,5.8,0.15,0.12,0.2,0.21,0.19,0.21,0.77,0.54,0.63,0.1,0.15,0,1,0,0,0,0,0,0,Apex_Prey_Base_Restoration,success
0.12,0.49,0.6,0.51,0.32,42.6,1414.0,5.4,0.12,0.09,0.12,0.15,0.05,0.61,0.58,0.31,0.09,0.16,1.0,0,0,1,0,0,0,0,0,Install_Bird_Diverters,success
0.08,0.66,0.9,0.79,-0.43,35.1,1129.0,6.6,0.18,0.06,0.99,0.02,0.28,0.07,0.02,1.0,0.48,0.33,0.06,0,0,1,0,0,0,0,0,Nesting_Site_Exclusion_Zones,success
0.37,0.57,0.31,0.29,0.34,19.0,86.0,7.0,0.22,0.74,0.23,0.03,0.22,0.58,1.0,0.59,0.0,0.0,0.12,0,1,0,0,0,0,0,0,Intelligence_Led_Anti_Poaching,success
0.43,0.42,0.18,0.7,0.43,40.8,478.0,3.9,0.93,0.2,0.18,0.23,0.15,1.0,0.72,0.34,0.07,0.3,0.12,1,0,0,0,0,0,0,0,Strategic_Fire_Break_Maintenance,success
0.23,0.78,0.19,0.15,0.02,20.5,506.0,1.9,0.21,0.28,0.97,0.16,0.19,0.8,0.12,1.0,0.36,0.3,0.17,0,1,0,0,0,0,0,0,Buffer_Zone_Enforcement,success
0.2,0.21,0.89,0.88,0.24,25.4,2984.0,1.9,0.25,0.25,0.15,0.09,0.24,0.46,0.52,0.05,0.45,0.17,0.13,0,0,1,0,0,0,0,0,Native_Tree_Reforestation,success
0.37,0.76,0.64,0.61,-0.41,30.2,59.0,8.7,0.15,0.24,0.18,0.78,0.23,0.43,0.56,0.37,1.0,0.34,0.14,0,0,0,0,1,0,0,0,Construct_Artificial_Wetlands,success
0.11,0.48,0.88,0.87,-0.34,46.1,389.0,3.8,0.22,0.02,0.16,0.13,0.71,0.78,0.94,0.6,0.0,0.03,0.01,0,0,0,1,0,0,0,0,Micro_Thermal_Shelter_Creation,success
0.14,0.86,0.76,0.7,0.12,45.9,393.0,7.9,0.21,0.12,0.09,0.09,0.93,0.39,0.01,0.6,0.22,0.32,0.08,0,0,0,1,0,0,0,0,Micro_Thermal_Shelter_Creation,success
0.08,0.35,0.79,0.76,-0.43,34.5,1258.0,3.9,0.02,0.02,0.04,0.22,0.17,0.65,0.32,0.29,0.36,1.0,0.06,0,0,0,0,1,0,0,0,Fungal_Infection_Screening,success
0.16,0.3,0.75,0.7,0.47,19.9,163.0,2.5,0.29,0.01,0.07,0.25,0.13,0.34,0.65,0.81,0.25,0.23,0.16,0,0,1,0,0,0,0,0,Native_Tree_Reforestation,success
0.12,0.81,0.68,0.55,0.16,38.4,568.0,9.3,0.07,0.2,0.19,0.05,0.3,0.73,0.67,0.03,0.74,0.5,0.01,0,0,1,0,0,0,0,0,Vulture_Safe_Zone_Demarcation,success
0.16,0.38,0.64,0.56,-0.11,38.0,2503.0,3.7,0.08,0.23,0.08,0.14,0.95,0.29,0.49,0.32,0.7,0.06,0.17,0,0,0,1,0,0,0,0,Micro_Thermal_Shelter_Creation,success
0.16,0.82,0.85,0.75,0.1,39.3,2484.0,2.8,0.04,0.22,0.79,0.2,0.04,0.06,0.53,1.0,0.68,0.25,0.08,0,1,0,0,0,0,0,0,Buffer_Zone_Enforcement,success
0.12,0.65,0.26,0.25,-0.14,18.5,2678.0,5.0,0.03,0.22,0.79,0.09,0.13,0.78,0.42,1.0,0.6,0.08,0.19,0,0,1,0,0,0,0,0,Nesting_Site_Exclusion_Zones,success
0.07,0.21,0.43,0.38,-0.25,21.8,1445.0,2.6,0.05,0.03,0.19,0.13,0.16,0.84,0.57,0.03,0.83,0.39,0.12,0,1,0,0,0,0,0,0,Apex_Prey_Base_Restoration,success
0.14,0.56,0.48,0.46,0.42,42.0,1297.0,4.3,0.01,0.23,0.06,0.16,0.14,0.01,0.03,0.28,0.91,0.11,0.13,0,0,1,0,0,0,0,0,Vulture_Safe_Zone_Demarcation,success
0.11,0.68,0.31,0.29,0.19,39.5,1227.0,7.8,0.25,0.05,0.17,0.07,0.77,0.55,0.22,0.32,0.44,0.32,0.14,0,1,0,0,0,0,0,0,Managed_Water_Points,success
0.39,0.54,0.27,0.27,-0.59,29.1,192.0,4.3,0.16,0.29,0.02,0.74,0.1,0.09,0.16,0.37,1.0,0.11,0.01,0,1,0,0,0,0,0,0,Solar_Pump_Water_Holes,success
0.19,0.34,0.82,0.69,-0.37,34.0,1818.0,2.2,0.27,0.06,0.06,0.3,0.15,0.43,0.32,0.29,0.9,0.4,0.15,0,0,1,0,0,0,0,0,Native_Tree_Reforestation,success
0.33,0.11,0.38,0.34,-0.43,43.4,1265.0,0.4,0.77,0.23,0.01,0.05,0.09,1.0,0.56,0.73,0.69,0.45,0.13,0,1,0,0,0,0,0,0,Fire_Refuge_Creation,success
0.32,0.34,0.21,0.63,-0.11,39.0,2809.0,3.6,0.98,0.03,0.28,0.03,0.13,1.0,0.53,0.31,0.48,0.2,0.15,1,0,0,0,0,0,0,0,Strategic_Fire_Break_Maintenance,success
0.38,0.77,0.19,0.11,-0.36,35.3,1633.0,7.6,0.86,0.21,0.06,0.13,0.06,1.0,0.99,0.8,0.45,0.42,0.19,0,1,0,0,0,0,0,0,Fire_Refuge_Creation,success
0.38,0.45,0.11,0.22,0.33,36.1,2718.0,4.9,0.96,0.02,0.27,0.26,0.09,1.0,0.08,0.54,0.35,0.28,0.12,1,0,0,0,0,0,0,0,Strategic_Fire_Break_Maintenance,success
0.11,0.53,0.26,0.22,0.15,28.8,2882.0,6.4,0.06,0.02,0.05,0.27,0.04,0.15,0.35,1.0,0.18,1.0,0.06,0,0,0,0,1,0,0,0,Fungal_Infection_Screening,success
